Location Category,CDC Location Label,NHSN Healthcare Service Location Code,Location Description
INPATIENT LOCATIONS,Cardiac Catheterization Room/Suite,1005-8,"A room or rooms in a hospital equipped for the performance of heart catheterizations for diagnostic or therapeutic purposes.  Operating Room requirements for air changes, temperature, humidity and surfaces must be met."
INPATIENT LOCATIONS,Trauma Critical Care,1025-6,Critical care area for the care of patients who require a high level of monitoring and/or intervention following trauma or during critical illness related to trauma.
INPATIENT LOCATIONS,Burn Critical Care,1026-4,Critical care area for the care of patients with significant/major burns.
INPATIENT LOCATIONS,Medical Critical Care,1027-2,Critical care area for the care of patients who are being treated for nonsurgical conditions.
INPATIENT LOCATIONS,Medical Cardiac Critical Care,1028-0,Critical care area for the care of patients with serious heart problems that DO NOT require heart surgery.
INPATIENT LOCATIONS,Medical-Surgical Critical Care,1029-8,Critical care area for the care of patients with medical and/or surgical conditions.
INPATIENT LOCATIONS,Surgical Critical Care,1030-6,Critical care area for the evaluation and management of patients with serious illness before and/or after surgery.
INPATIENT LOCATIONS,Neurosurgical Critical Care,1031-4,Critical care area for the surgical management of patients with severe neurologic diseases or those at risk for neurologic injury as a result of surgery.
INPATIENT LOCATIONS,Surgical Cardiothoracic Critical Care,1032-2,Critical care area for the care of patients following cardiac and/or thoracic surgery.
INPATIENT LOCATIONS,Respiratory Critical Care,1033-0,Critical care area for the evaluation and treatment of patients with severe respiratory conditions.
INPATIENT LOCATIONS,Prenatal Critical Care,1034-8,Critical care area for the care of pregnant patients with complex medical or obstetric problems requiring a high level of care to prevent the loss of the fetus and to protect the life of the mother.
INPATIENT LOCATIONS,Neurologic Critical Care,1035-5,Critical care area for the care of patients with life- threatening neurologic diseases.
INPATIENT LOCATIONS,Well Newborn Nursery (Level I),1038-9,Hospital area for evaluation and postnatal care of healthy newborns. May include neonatal resuscitation and stabilization of ill newborns until transfer to a facility at which specialty neonatal care is provided.
INPATIENT LOCATIONS,Neonatal Critical Care (Level II/III),1039-7,"Combined nursery housing both Level II and III newborns and infants, as per the NHSN level definitions above and below. This is analogous to a mixed acuity unit specifically for Neonatal Critical Care patients."
INPATIENT LOCATIONS,Neonatal Critical Care (Level III),1040-5,"A hospital neonatal intensive care unit (NICU) organized with personnel and equipment to provide continuous life support and comprehensive care for extremely high- risk newborn infants and those with complex and critical illness. The capabilities of Level III, listed below, are from the American Academy of Pediatrics definitions of levels of neonatal care.1 Level III NICU Level II capabilities plus: *Provide sustained life support *Provide comprehensive care for infants born < 32 wks. gestation and weighing <1500 g and infants born at all gestational ages and birth weights with critical illness *Provide prompt and readily available access to a full range of pediatric medical subspecialists, pediatric surgical specialists, pediatric anesthesiologists, and pediatric ophthalmologists *Provide a full range of respiratory support that may include conventional and/or high-frequency ventilation and inhaled nitric oxide *Perform advanced imaging, with interpretation on an urgent basis,"
INPATIENT LOCATIONS,Special Care Nursery (Level II),1041-3,"The capabilities of Level II, listed below, are from the American Academy of Pediatrics definitions of levels of neonatal care. Level II special care nursery: Level I capabilities plus: Provide care for infants born ≥32 wks. gestation and weighing ≥1500 g who have physiologic immaturity or who are moderately ill with problems that are expected to resolve rapidly and are not anticipated to need subspecialty services on an urgent basis. Provide care for infants convalescing after intensive care. Provide mechanical ventilation for brief duration (<24 h) or continuous positive airway pressure or both. Stabilize infants born before 32 wks. gestation and weighing less than 1500 g until transfer to a neonatal intensive care facility."
INPATIENT LOCATIONS,Pediatric Burn Critical Care,1042-1,Critical care area for the care of patients ≤18 years oldwith significant/major burns.
INPATIENT LOCATIONS,Pediatric Surgical Cardiothoracic Critical Care,1043-9,Critical care area for the care of patients ≤18 years old following cardiac and thoracic surgery.
INPATIENT LOCATIONS,Pediatric Medical Critical Care,1044-7,Critical care area for the care of patients ≤18 years oldwho are being treated for nonsurgical conditions.
INPATIENT LOCATIONS,Pediatric Medical-Surgical Critical Care,1045-4,Critical care area for the care of patients ≤18 years oldwith medical and/or surgical conditions.
INPATIENT LOCATIONS,Pediatric Neurosurgical Critical Care,1046-2,Critical care area for the surgical management of patients ≤18 years old with severe neurologic diseases or those at risk for neurologic injury as a result of surgery.
INPATIENT LOCATIONS,Pediatric Respiratory Critical Care,1047-0,Critical care area for the evaluation and treatment of patients ≤18 years old with severe respiratory conditions.
INPATIENT LOCATIONS,Pediatric Surgical Critical Care,1048-8,Critical care area for the evaluation and management of patients ≤18 years old with serious illness before and/or after surgery.
INPATIENT LOCATIONS,Pediatric Trauma Critical Care,1049-6,Critical care area for the care of patients ≤18 years old who require a high level of monitoring and/or intervention following trauma or during critical illness related to trauma.
INPATIENT LOCATIONS,Behavioral Health/Psych Ward,1051-2,Area for the evaluation and treatment of patients with acute psychiatric or behavioral disorders.
INPATIENT LOCATIONS,Burn Ward,1052-0,Area for the evaluation and treatment of patients who have burns.
INPATIENT LOCATIONS,"Ear, Nose, Throat Ward",1053-8,"Area for the evaluation, treatment, or surgery of patients with ear, nose, or throat disorders."
INPATIENT LOCATIONS,Gastrointestinal Ward,1054-6,"Area for the evaluation, treatment, or surgery of patients with disorders of the gastrointestinal tract."
INPATIENT LOCATIONS,Genitourinary Ward,1055-3,"Area for the evaluation, treatment, or surgery of patients with disorders of the genitourinary system."
INPATIENT LOCATIONS,Gerontology Ward,1056-1,"Area for the evaluation, treatment, or surgery of patients with age-related diseases."
INPATIENT LOCATIONS,Gynecology Ward,1057-9,"Area for the evaluation, treatment, or surgery of female patients with reproductive tract disorders."
INPATIENT LOCATIONS,Labor and Delivery Ward,1058-7,Area where women labor and give birth.
INPATIENT LOCATIONS,"Labor, Delivery, Recovery, Postpartum Suite",1059-5,"Suite used for labor, delivery, recovery and postpartum care -- all within the same suite."
INPATIENT LOCATIONS,Medical Ward,1060-3,Area for the evaluation and treatment of patients with medical conditions or disorders.
INPATIENT LOCATIONS,Medical-Surgical Ward,1061-1,Area for the evaluation of patients with medical and/or surgical conditions.
INPATIENT LOCATIONS,Neurology Ward,1062-9,Area for the evaluation and treatment of patients with neurologic disorders.
INPATIENT LOCATIONS,Neurosurgical Ward,1063-7,Area for the care of patients whose primary reason for admission is to have neurosurgery or to be cared for by a neurosurgeon after head or spinal trauma.
INPATIENT LOCATIONS,Ophthalmology Ward,1064-5,Area for the care of patients whose primary reason for admission is to have eye surgery or to be cared for by an ophthalmologist after eye trauma.
INPATIENT LOCATIONS,Orthopedic Ward,1065-2,"Area for the evaluation, treatment, or surgery on bones, joints, and associated structures by an orthopedist."
INPATIENT LOCATIONS,Orthopedic Trauma Ward,1066-0,Area for the evaluation and treatment of patients with orthopedic injuries or disorders.
INPATIENT LOCATIONS,Plastic Surgery Ward,1067-8,Area for the care of patients who have reconstructive surgery performed by a plastic surgeon.
INPATIENT LOCATIONS,Postpartum Ward,1068-6,Area for the care of patients recovering from childbirth.
INPATIENT LOCATIONS,Pulmonary Ward,1069-4,Area for the evaluation and treatment of patients with respiratory system conditions or disorders.
INPATIENT LOCATIONS,Rehabilitation Ward (within Hospital),1070-2,"Area for the evaluation and restoration of function to patients who have lost function due to acute or chronic pain, musculoskeletal problems, stroke, or catastrophic events resulting in complete or partial paralysis."
INPATIENT LOCATIONS,Stroke (Acute) Ward,1071-0,"Area for the evaluation, stabilization, and treatment of patients who have experienced an acute stroke."
INPATIENT LOCATIONS,Surgical Ward,1072-8,Area for the evaluation and treatment of patients who have undergone a surgical procedure.
INPATIENT LOCATIONS,Vascular Surgery Ward,1073-6,Area for the evaluation and treatment of patients who have undergone vascular surgery.
INPATIENT LOCATIONS,Adolescent Behavioral Health Ward,1075-1,Area for the evaluation and treatment of patients 13-18 years old with acute psychiatric or behavioral disorders.
INPATIENT LOCATIONS,Pediatric Medical Ward,1076-9,Area for the evaluation and treatment of patients ≤18 years old with medical conditions or disorders.
INPATIENT LOCATIONS,Pediatric Behavioral Health Ward,1077-7,Area for the evaluation and treatment of patients ≤18years old with acute psychiatric or behavioral disorders.
INPATIENT LOCATIONS,Pediatric Burn Ward,1078-5,Area for the evaluation and treatment of patients ≤18years old who have tissue injury caused by burns.
INPATIENT LOCATIONS,"Pediatric Ear, Nose, Throat Ward",1079-3,"Area for the evaluation and treatment of patients ≤18years old with disorders of the ear, nose, and/or throat."
INPATIENT LOCATIONS,Pediatric Genitourinary Ward,1080-1,Area for the evaluation and treatment of patients ≤18years old with disorders of the genitourinary system.
INPATIENT LOCATIONS,Pediatric Medical-Surgical Ward,1081-9,Area for the evaluation and treatment of patients ≤18years old with medical and/or surgical conditions.
INPATIENT LOCATIONS,Pediatric Neurology Ward,1082-7,Area for the evaluation and treatment of patients ≤18years old with neurologic disorders.
INPATIENT LOCATIONS,Pediatric Neurosurgical Ward,1083-5,Area for care of patients ≤18 years old whose primary reason for admission is to have neurosurgery or to be cared for by a neurosurgeon after head or spinal trauma.
INPATIENT LOCATIONS,Pediatric Orthopedic Ward,1084-3,Area for the evaluation and treatment of patients ≤18years old with orthopedic injuries or disorders.
INPATIENT LOCATIONS,Pediatric Rehabilitation Ward (within Hospital),1085-0,"Area for the evaluation and restoration of function to patients ≤18 years old who have lost function due to acute or chronic pain, musculoskeletal problems, stroke, or catastrophic events resulting in complete or partial paralysis."
INPATIENT LOCATIONS,Pediatric Surgical Ward,1086-8,Area for the evaluation and treatment of patients ≤18years old who have undergone a surgical procedure.
INPATIENT LOCATIONS,Pediatric Dialysis Specialty Care Area,1091-8,Specialty care area for the care of patients ≤18 years oldwho require acute dialysis as a temporary measure.
INPATIENT LOCATIONS,Solid Organ Transplant Specialty Care Area,1092-6,"Specialty care area for the postoperative care of patients >18 years old who have had a solid organ transplant (for example, heart/lung, kidney, liver, pancreas)."
INPATIENT LOCATIONS,Pediatric Solid Organ Transplant Specialty Care Area,1093-4,"Specialty care area for the postoperative care of patients≤18 years old who have had a solid organ transplant (for example, heart/lung, kidney, liver, pancreas)."
INPATIENT LOCATIONS,Cesarean Section Room/Suite,1095-9,"A room or suite in a hospital equipped for the performance of obstetric and gynecologic surgeries and for the care of the neonate immediately after birth.Operating Room requirements for air changes, temperature, humidity and surfaces must be met."
INPATIENT LOCATIONS,Operating Room/Suite,1096-7,"A room or suite in a hospital equipped for the performance of surgical operations. Requirements for air changes, temperature, humidity, and surfaces must be met."
INPATIENT LOCATIONS,Post-Anesthesia Care Unit/Recovery Room,1097-5,Area designated for monitoring patients for immediate effects of anesthesia before either going home or on to an in-patient care area.
INPATIENT LOCATIONS,Adult Step Down Unit,1099-1,"Area for adult patients who are hemodynamically stable and can benefit from close supervision and monitoring, such as frequent pulmonary toilet, vital signs, and/or neurologic and neurovascular checks."
INPATIENT LOCATIONS,Pediatric Step-Down Unit,1100-7,"Area for patients ≤18 years old who are hemodynamically stable and can benefit from close supervision and monitoring, such as frequent pulmonary toilet, vital signs, and/or neurologic and neurovascular checks."
INPATIENT LOCATIONS,Chronic Care Unit,1102-3,Area where care provided for patients with chronic disease or disabilities for extended periods of time.
INPATIENT LOCATIONS,Chronic Alzheimer's Unit,1103-1,Area where care is provided to persons diagnosed with Alzheimer's syndrome for extended periods of time.
INPATIENT LOCATIONS,Chronic Behavioral Health/Psych Unit,1104-9,Area where care is provided to patients with psychiatric or behavioral-disorder diagnoses for extended periods of time.
INPATIENT LOCATIONS,Chronic Rehabilitation Unit,1105-6,"Area where evaluation and restoration of function is provided to patients who have lost function due to acute or chronic pain, musculoskeletal problems, stroke, or catastrophic events resulting in complete or partial paralysis."
INPATIENT LOCATIONS,Ventilator Dependent Unit,1164-3,Area where care is provided to patients whose respirations depend on the use of a ventilator for extended periods of time.
INPATIENT LOCATIONS,Inpatient Hospice,1165-0,Area where palliative care is provided to the dying patient.
INPATIENT LOCATIONS,Jail Unit,1171-8,Overnight stay patient care area of a hospital or correctional facility used only for those who are in custody of law enforcement during their treatment.
INPATIENT LOCATIONS,School Infirmary,1172-6,"Overnight stay patient care area of a school infirmary or health center (for example, private residential school or college campus)."
INPATIENT LOCATIONS,Dialysis Specialty Care Area,1198-1,Specialty care area for the care of patients who require acute dialysis as a temporary measure.
INPATIENT LOCATIONS,Interventional Radiology,1203-9,"A room where diagnostic or therapeutic radiology procedures are done on outpatients or inpatients. Operating room requirements for air changes, temperature, humidity, and surfaces must be met."
INPATIENT LOCATIONS,Antenatal Care Ward,1205-4,"Hospital area for observation, evaluation, treatment or surgery of high-risk pregnancy patients."
INPATIENT LOCATIONS,Telemetry Ward,1208-8,Hospital area dedicated to providing evaluation and treatment of patients requiring continuous cardiac monitoring
